302548 0 1505008819 302555 1 1505016822 25254
302563 0 1505027609 302565 1 1505028077 202
302572 0 1505033513 302573 1 1505070237 111907
302596 0 1505100603 302596 1 1505122250 79608
302597 0 1505122509 302597 1 1505147064 68343
302634 0 1505179402 302635 1 1505223574 139818
302651 0 1505234219 302654 1 1505245268 42633
302661 0 1505255249 302663 1 1505273686 66130
303825 0 1506238701 303825 1 1506242896 10621
303832 0 1506251534 303832 1 1506294879 148582
303838 0 1506304100 303838 1 1506350504 170834
303885	0	1506366558 303885 1 1506413015 179354
303948	0	1506430053 303948 1 1506467894 154515
303998 0 1506495889 304000 1 1506521105 112338
304062	0	1506544644 304062 1 1506590356 172572
304120	0	1506603636 304125 1 1506650847 182972
304144	0	1506663107 304144 1 1506723040 231904
304158	0	1506753246 304158 1 1506798068 166081
304169	0	1506809520 304170 1 1506863359 186766
304199 0 1506883952 304200 1 1506891637 37647
304204 0 1506901289 304204 1 1506914177 64332
304209 0 1506922428 304209 1 1506932358 48010
304291	0	1506966021 304292 1 1507008914 151219
304333	0	1507031415 304333 1 1507068246 155909
304354 0 1507087078 304354 1 1507092066 26339
304366	0	1507108829 304366 1 1507151479 178010
304446	0	1507164418 304451 1 1507206917 165967
304505 0 1507229594 304507 1 1507244587 70185
304508 0 1507244822 304508 1 1507275685 110456
304562 0 1507293037 304562 1 1507311604 91115
304616 0 1507328128 304616 1 1507350296 103901
304625 0 1507361754 304626 1 1507372909 54087
304654 0 1507425937 304654 1 1507440966 67021
304655 0 1507441189 304655 1 1507469022 98794
304661 0 1507477788 304663 1 1507501747 104715
304671 0 1507509788 304672 1 1507537947 125315
304737	0	1507578796 304740 1 1507626806 187872
304776 0 1507637301 304777 1 1507650173 59899
304778 0 1507650426 304778 1 1507680660 103750
304797	0	1507705458 304797 1 1507773585 219131
305044 0 1507928444 305046 1 1507972695 143488
305059 0 1507981498 305063 1 1507995094 55666
305064 0 1507995265 305064 1 1508042936 137551
305081 0 1508058392 305081 1 1508082949 105915
305112 0 1508108818 305113 1 1508144613 141813
305114 0 1508144721 305114 1 1508156982 32576
305178 0 1508174393 305186 1 1508193744 73127
305188 0 1508195224 305188 1 1508218581 72555
305202 0 1508228307 305202 1 1508243232 67727
305204 0 1508246441 305204 1 1508275078 91885
305207 0 1508283257 305208 1 1508316011 130094
305234 0 1508324414 305237 1 1508353674 115122
305247 0 1508371125 305252 1 1508416913 152932
305282 0 1508426900 305282 1 1508429998 13724
305310 0 1508444880 305314 1 1508490160 158550
305336 0 1508501482 305338 1 1508508710 31080
305349 0 1508520574 305350 1 1508521722 2578
305364	50	1508564602	305365	829	1508586174	75402
305366	1	1508586413	305366	1254	1508615645	73828
305376	71	1508631071	305377	1525	1508669972	123057
305405	44	1508696158	305406	1475	1508743082	134240
305440	20	1508755832	305440	271	1508761696	21430
305518	1	1508820537	305518	1134	1508846971	71185
305586	53	1508867217	305586	583	1508879593	43168
305589	1	1508885239	305590	1020	1508925220	85724
305636	60	1508938081	305636	2390	1508992405	53853
305766	55	1509079058	305766	902	1509098818	75043
305809	56	1509146449	305809	197	1509149747	12913
305814	85	1509171438	305814	1912	1509214039	134331
305821	59	1509222561	305821	830	1509240556	64516
305832	87	1509276180	305832	265	1509280331	15040
305840	1	1509291540	305842	862	1509338530	114535
305862	81	1509362921	305862	705	1509377488	53233
305898	70	1509394930	305898	780	1509411494	59132
305902	53	1509424024	305902	521	1509434956	38640
305967	1	1509466105	305967	32	1509466847	2935
306029	63	1509560922	306030	110	1509564265	11869
306036	60	1509576226	306051	415	1509619281	128327
306092	1	1509653066	306095	300	1509683962	82316
306122	1	1509717197	306122	124	1509720064	10347
306126	1	1509790462	306126	497	1509802047	10696
306134	53	1509817187	306137	5	1509845376	93087
306138	1	1509845541	306139	1112	1509902988	102751
306153	78	1509935761	306154	1220	1509966234	95822
306155	1	1509966724	306155	1440	1510000274	69242
306169	1	1510004630	306171	503	1510034216	35342
306417	1	1510191454	306432	339	1510224938	72683
306454	13	1510237128	306458	264	1510264683	90649
306459	1	1510264810	306460	63	1510319558	106530
